node displacement
   1  5.48814
   2  5.92845
   3  7.15189
   4  8.44266
   5  6.02763
   6  8.57946
   7  5.44883
   8  8.47252
   9  4.23655
  10  6.23564
  11  6.45894
  12  3.84382
  13  4.37587
  14  2.97535
  15  8.91773
  16  0.56713
  17  9.63663
  18  2.72656
  19  3.83442
  20  4.77665
  21  7.91725
  22  8.12169
  23  5.28895
  24  4.79977
  25  5.68045
  26  3.92785
  27  9.25597
  28  8.36079
  29 0.710361
  30  3.37396
  31 0.871293
  32  6.48172
  33 0.202184
  34  3.68242
  35   8.3262
  36  9.57155
  37  7.78157
  38  1.40351
  39  8.70012
  40  8.70087
  41  9.78618
  42  4.73608
  43  7.99159
  44  8.00911
  45  4.61479
  46  5.20477
  47  7.80529
  48   6.7888
  49  1.18274
  50  7.20633
  51  6.39921
  52   5.8202
  53  1.43353
  54  5.37373
  55  9.44669
  56  7.58616
  57  5.21848
  58  1.05908
  59  4.14662
  60    4.736
  61  2.64556
  62  1.86332
  63  7.74234
  64  7.36918
  65   4.5615
  66   2.1655
  67  5.68434
  68  1.35218
  69 0.187898
  70  3.24141
  71  6.17636
  72  1.49675
  73  6.12096
  74  2.22321
  75  6.16934
  76  3.86489
  77  9.43748
  78  9.02598
  79   6.8182
  80   4.4995
  81  3.59508
  82  6.13063
  83  4.37032
  84  9.02349
  85  6.97631
  86 0.992804
  87 0.602255
  88  9.69809
  89  6.66767
  90   6.5314
  91  6.70638
  92   1.7091
  93  2.10383
  94  3.58152
  95  1.28926
  96  7.50686
  97  3.15428
  98  6.07831
  99  3.63711
 100  3.25047
